C/N,OM,Temperature,MC,PH,TN,"NH₄⁺-Ng/kg",NO₃⁻-N mg/kg,"EC ms/cm","NH₃g/m²·d","CH₄  g/m²·d","CO₂  g/m²·d","N₂O g/m²·d"
26.15,56,5,65.2,7.38,1.85,1.59,271,1.78,6.6,1.65,17,0.17
32.29,49,51,60.5,7.24,1.23,2.15,248,2.52,100,12.61,200,1.26
26.33,44,55.5,53.9,7.44,0.93,1.58,273,2.77,91,12.62,423,1.48
19.25,41,45,49.9,7.88,1.25,1.54,280,1.93,25.3,6,298,0.21
14.3,38,36.2,45.2,7.71,1.36,1.39,287,1.62,30.2,1.58,162,0.123
26.18,54,5,65.9,7.37,1.78,1.53,265,1.83,6.4,1.64,11,0.1
32.41,52,52,60.3,7.25,1.34,2.07,244,2.51,108,13,223,1.17
26.37,43,54.5,54.1,7.41,0.78,1.63,272,2.81,86.6,12,400,1.29
19.28,42,45,51.3,7.85,1.21,1.49,271,1.88,24,6.67,286,0.17
14.25,39,35.8,45.1,7.74,1.3,1.34,291,1.57,25.8,2,191,0.0119
26.13,55.9,5,65.4,7.33,1.74,1.56,265,1.79,7.9,1.6,17,0.12
32.33,41.2,50,60.4,7.2,1.39,2.14,243,2.47,101,12.76,213,1.2
26.27,40.2,55,55.5,7.44,0.75,1.65,256,2.82,83.4,12.31,407,1.49
19.25,37.3,45,50.9,7.85,1.2,1.56,298,1.89,22.7,5.69,286,0.22
14.15,38.8,36,44.1,7.71,1.36,1.38,304,1.61,28,2.36,187,0.2251
19.82,52.9,5,71.9,7.88,1.96,1.69,351,2.15,6.5,1.65,16.5,0.186
27.66,48.4,54.5,67.6,7.69,1.63,1.93,341,2.54,92.1,16,212,1.6
24.62,42.4,50,59.2,7.93,1.21,1.52,371,2.95,78.2,14,391,1.49
19.35,41.4,43.5,53.2,8.04,1.37,1.33,389,2.32,33,6.87,281,0.326
15.11,38.9,29,50.2,7.89,1.63,1.23,394,2.15,11.21,2.17,147,0.123
19.58,51.1,5,73.8,7.85,2.03,1.64,342,2.12,5.8,1.82,14.1,0.178
27.81,41.3,49,67.4,7.65,1.53,1.94,326,2.64,86,15.79,187,1.53
24.65,10.3,54,58.2,7.91,1,1.54,366,2.93,85,17.32,378,1.51
